chunk_id,section_id,chunk_seq,start_char,end_char,text_chunk
SEC635272063273_C01,635272063273,1,0,476,"Abstract Previous experimental studies have shown that the isomerization reaction of previtamin D3 (PreD3) to vitamin D3 (VitD3) is accelerated 40-fold when it takes place within a β-cyclodextrin dimer, in comparison to the reaction occurring in conventional isotropic solutions. In this study, we employ quantum mechanics-based molecular dynamics (MD) simulations and statistical multistructural variational transition state theory to unveil the origin of this acceleration."
SEC635272063273_C02,635272063273,2,280,793,"In this study, we employ quantum mechanics-based molecular dynamics (MD) simulations and statistical multistructural variational transition state theory to unveil the origin of this acceleration. We find that the conformational landscape in the PreD3 isomerization is highly dependent on whether the system is encapsulated. In isotropic media, the triene moiety of the PreD3 exhibits a rich torsional flexibility. However, when encapsulated, such a flexibility is limited to a more confined conformational space."
SEC635272063273_C03,635272063273,3,604,1136,"In isotropic media, the triene moiety of the PreD3 exhibits a rich torsional flexibility. However, when encapsulated, such a flexibility is limited to a more confined conformational space. In both scenarios, our calculated rate constants are in close agreement with experimental results and allow us to identify the PreD3 flexibility restriction as the primary catalytic factor. These findings enhance our understanding of VitD3 isomerization and underscore the significance of MD and environmental factors in biochemical modeling."
SEC958251943746_C01,958251943746,1,0,580,"Introduction The “sunshine vitamin”, vitamin D3 (VitD3), is a steroid hormone hailing from cholesterol that holds a crucial place in the maintenance of calcium homeostasis and the enhancement of normal bone mineralization within the human anatomy. This vital nutrient is also intricately involved in several other indispensable biological processes, − and its insufficiency has been identified as a contributing factor to various health conditions, such as rickets and osteoporosis in children and adults, autoimmune diseases, − and even to the onset of depression in later life."
SEC958251943746_C02,958251943746,2,248,791,"This vital nutrient is also intricately involved in several other indispensable biological processes, − and its insufficiency has been identified as a contributing factor to various health conditions, such as rickets and osteoporosis in children and adults, autoimmune diseases, − and even to the onset of depression in later life., Despite its fundamental significance, hypovitaminosis D is a widespread global challenge, affecting approximately one billion individuals across the world, even in regions boasting high levels of sun exposure."
SEC958251943746_C03,958251943746,3,580,1093,", Despite its fundamental significance, hypovitaminosis D is a widespread global challenge, affecting approximately one billion individuals across the world, even in regions boasting high levels of sun exposure. VitD3 can be obtained by humans through two sources, namely, endogenous production and dietary intake, with the former serving as the principal source for the vast majority of individuals. Regarding the latter, the utilization of VitD3 supplements has witnessed an unprecedented surge in recent years."
SEC958251943746_C04,958251943746,4,791,1241,"VitD3 can be obtained by humans through two sources, namely, endogenous production and dietary intake, with the former serving as the principal source for the vast majority of individuals. Regarding the latter, the utilization of VitD3 supplements has witnessed an unprecedented surge in recent years. For example, their sales reached a staggering $936 million in the United States alone in the year 2017, a 9-fold increase from the previous decade."
SEC958251943746_C05,958251943746,5,1093,1645,"For example, their sales reached a staggering $936 million in the United States alone in the year 2017, a 9-fold increase from the previous decade. Given the growing demand for VitD3, an in-depth comprehension of the mechanism behind its formation holds immense significance for both the pharmaceutical and food industries, as it holds the potential to pave the way for the creation of more efficient and economically viable synthetic procedures. The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure."
SEC958251943746_C06,958251943746,6,1241,1645,"Given the growing demand for VitD3, an in-depth comprehension of the mechanism behind its formation holds immense significance for both the pharmaceutical and food industries, as it holds the potential to pave the way for the creation of more efficient and economically viable synthetic procedures. The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure."
SEC958251943746_C07,958251943746,7,1540,1987,"The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure. The first step is the UV-induced 6π electrocyclic ring opening of 7-dehydrocholesterol, otherwise known as provitamin D3 (ProD3), resulting in the formation of the secosteroid previtamin D3 (PreD3). The second step entails the thermal antarafacial -sigmatropic hydrogen shift reaction, culminating in the formation of the much-coveted VitD3."
SEC958251943746_C08,958251943746,8,1844,2300,"The second step entails the thermal antarafacial -sigmatropic hydrogen shift reaction, culminating in the formation of the much-coveted VitD3. In order for this second step of the biosynthesis of VitD3 to occur, it is necessary for the single bonds of the triene moiety, which connect rings A and C, to be in the s-cis conformation (−c or +c, depending on whether the corresponding dihedral angle is between −90 and 0° or between 0 and 90°, respectively)."
SEC958251943746_C09,958251943746,9,1987,2446,"In order for this second step of the biosynthesis of VitD3 to occur, it is necessary for the single bonds of the triene moiety, which connect rings A and C, to be in the s-cis conformation (−c or +c, depending on whether the corresponding dihedral angle is between −90 and 0° or between 0 and 90°, respectively). As a result, this reaction manifests two potential antarafacial hydrogen exchange pathways: +c+c and −c−c, or just and, as illustrated in Figure."
SEC958251943746_C10,958251943746,10,2300,2808,"As a result, this reaction manifests two potential antarafacial hydrogen exchange pathways: +c+c and −c−c, or just and, as illustrated in Figure. The nomenclature for these arrangements is derived from the torsion angles about the two single bonds of the triene moiety (ϕ 1 and ϕ 2, see Figure). According to the nonadiabatic molecular dynamics (MD) simulations carried out by Furche and co-workers, the UV-induced ring opening results in PreD3 in the −c−c arrangement (we refer to Figure 11 of their work)."
SEC958251943746_C11,958251943746,11,2596,3006,"According to the nonadiabatic molecular dynamics (MD) simulations carried out by Furche and co-workers, the UV-induced ring opening results in PreD3 in the −c−c arrangement (we refer to Figure 11 of their work). However, the small interconversion barriers in PreD3 allows the thermal isomerization to take place through the +c+c configuration, which is known to be about 10 times faster than the −c−c pathway."
SEC958251943746_C12,958251943746,12,2808,3368,"However, the small interconversion barriers in PreD3 allows the thermal isomerization to take place through the +c+c configuration, which is known to be about 10 times faster than the −c−c pathway. It is also important to note that the most stable conformer of PreD3, which has been found, to present a +t−c triene configuration, does not correspond to either of the two reactive triene arrangements (+t implies that the corresponding dihedral angle, in this case ϕ 1, is between +90 and +180°). Examples of these triene configurations can be found in Figure."
SEC958251943746_C13,958251943746,13,3006,3463,"It is also important to note that the most stable conformer of PreD3, which has been found, to present a +t−c triene configuration, does not correspond to either of the two reactive triene arrangements (+t implies that the corresponding dihedral angle, in this case ϕ 1, is between +90 and +180°). Examples of these triene configurations can be found in Figure. Holick and co-workers have delved into the thermal isomerization of PreD3 in a range of media."
SEC958251943746_C14,958251943746,14,3304,3857,"Examples of these triene configurations can be found in Figure. Holick and co-workers have delved into the thermal isomerization of PreD3 in a range of media. Their findings show that the thermal reaction necessitates a substantial amount of time, spanning several days, in an isotropic organic solution, such as n -hexane, at a temperature equivalent to that of the human body. However, they have uncovered that this transformation occurs at a 10-fold faster pace when taking place inside different skin types, including human and even reptilian skin."
SEC958251943746_C15,958251943746,15,3683,4270,"However, they have uncovered that this transformation occurs at a 10-fold faster pace when taking place inside different skin types, including human and even reptilian skin. Their experiments show a remarkable acceleration in the rate of this thermal isomerizationby 40 timeswhen PreD3 remains encapsulated within a β-cyclodextrin dimer (β-CD dimer), compared to its rate in an isotropic medium. In this specific experiment, ProD3 was first encapsulated inside the β-CD dimer and then irradiated to produce PreD3. Subsequently, the thermal isomerization of PreD3 to VitD3 was studied."
SEC958251943746_C16,958251943746,16,4081,4644,"In this specific experiment, ProD3 was first encapsulated inside the β-CD dimer and then irradiated to produce PreD3. Subsequently, the thermal isomerization of PreD3 to VitD3 was studied. Given the high excess of β-CD and the insolubility of free ProD3 in water, Holick and co-workers reported that the system (ProD3, PreD3, and VitD3) remained fully complexed throughout the experiment. Therefore, the observed 40-fold increase in the reaction is exclusively due to the isomerization reaction and is unaffected by the encapsulation and decapsulation processes."
SEC958251943746_C17,958251943746,17,4470,4849,"Therefore, the observed 40-fold increase in the reaction is exclusively due to the isomerization reaction and is unaffected by the encapsulation and decapsulation processes. To explain the catalytic effect of the β-CD dimer, Holick and co-workers proposed that the reactive conformers of PreD3 are stabilized upon complexation, thereby elevating the isomerization rate constant."
